#{"t_start": 1754444974.287548, "env_id": "None"}
r,l,t
-29.965427,6,3.160728
-29.142048,7,3.165714
-39.771957,7,3.16771
-25.342506,6,3.170347
-32.87551,6,3.171345
-31.012152,6,3.171345
-35.039074,7,3.173339
-31.558273,5,3.173339
-38.14702,6,3.176332
-35.26854,7,3.18431
-38.582726,5,3.18431
-30.004814,6,3.18431
-41.83018,6,3.186305
-38.05834,6,3.189069
-36.308956,6,3.192061
-32.77732,8,3.195054
-31.748116,9,3.195054
-33.545532,6,3.200039
-33.038506,6,3.200039
-35.332478,6,3.203032
-37.582314,8,3.206025
-36.934105,6,3.206025
-33.207718,6,3.20897
-29.499138,6,3.211067
-36.10004,6,3.211067
-36.99448,6,3.217054
-39.27869,6,3.217054
-30.237741,5,3.217054
-36.900173,6,3.22204
-33.39643,6,3.22204
-27.066454,6,3.225031
-39.070553,6,3.227025
-43.868465,6,3.227025
-39.23312,6,3.232365
-32.67359,6,3.232365
-31.875454,6,3.233362
-35.26239,6,3.240344
-25.96842,5,3.240344
-32.060787,7,3.240344
-35.60132,7,3.240344
-36.281742,6,3.243336
-32.585236,7,3.250797
-34.005917,7,3.250797
-37.1506,7,3.251808
-35.882614,6,3.256786
-29.97553,6,3.256786
-40.535915,6,3.256786
-31.401411,6,3.259773
-28.483885,7,3.259773
-38.223557,6,3.266754
-37.654434,6,3.267751
-37.272488,6,3.272364
-37.98141,6,3.272364
-34.73427,6,3.275357
-35.197468,7,3.275357
-35.078552,6,3.275357
-34.173656,11,3.28134
-36.749832,7,3.286327
-30.176975,7,3.286327
-34.628483,6,3.289248
-39.74299,6,3.29224
-31.960415,6,3.29224
-33.50479,7,3.29224
-31.74806,6,3.29224
-37.248367,7,3.30022
-31.555922,6,3.302214
-25.536398,5,3.302214
-32.13481,7,3.306237
-33.178017,6,3.30936
-31.081896,6,3.30936
-35.63925,7,3.311356
-37.246246,7,3.311356
-39.244,6,3.317359
-32.712463,6,3.319334
-45.90898,6,3.322326
-32.11764,6,3.32432
-29.054857,6,3.327313
-43.94612,6,3.327313
-37.618732,9,3.332336
-24.69864,6,3.332336
-28.39268,11,3.332336
-39.442333,6,3.335329
-37.15646,6,3.337357
-34.343037,6,3.340316
-37.322456,6,3.342309
-35.33481,6,3.342309
-36.745926,6,3.348293
-37.86598,6,3.348293
-42.86072,6,3.348293
-25.841541,5,3.350965
-27.599598,7,3.352932
-36.56177,6,3.355924
-38.81294,6,3.358943
-31.550537,7,3.360936
-34.23729,6,3.362906
-33.78922,7,3.365898
-29.917122,6,3.365898
-35.134796,6,3.367892
-48.224323,8,3.367892
-37.649338,6,3.373403
-32.26076,8,3.375366
-32.93269,7,3.377359
-24.679756,6,3.377359
-32.462006,6,3.380386
-39.484818,6,3.380386
-30.90107,6,3.382381
-31.403048,6,3.382381
-34.582634,6,3.387367
-37.281063,6,3.390415
-35.057487,6,3.392374
-40.856174,6,3.395397
-36.93189,7,3.395397
-36.847237,6,3.39736
-31.534164,6,3.39736
-33.287395,8,3.399354
-32.880684,7,3.40434
-30.054983,6,3.40434
-32.176834,6,3.407365
-31.993313,6,3.410408
-29.973059,6,3.410408
-33.475235,6,3.41237
-24.43985,6,3.414364
-36.79613,7,3.414364
-34.737946,7,3.421345
-30.33564,7,3.421345
-29.362846,7,3.424372
-34.39632,6,3.424372
-36.817963,6,3.424372
-27.642473,7,3.429411
-34.153564,6,3.429411
-39.03568,6,3.429411
-30.906004,5,3.433401
-35.87549,6,3.438388
-27.261917,7,3.438388
-25.578526,7,3.441414
-34.17264,7,3.441414
-36.00846,6,3.443374
-38.901176,6,3.443374
-30.486135,6,3.443374
-33.778965,6,3.448394
-32.789413,6,3.452922
-32.67632,6,3.452922
-35.26936,6,3.454883
-29.650415,6,3.454883
-38.26977,6,3.457876
-38.294502,6,3.457876
-31.405035,6,3.457876
-35.641384,6,3.462894
-32.38352,6,3.466851
-34.460968,7,3.470407
-33.142246,6,3.470407
-28.839048,6,3.470407
-30.495687,6,3.472375
-28.892265,6,3.472375
-35.432278,7,3.475401
-28.915358,7,3.479356
-29.770136,6,3.482381
-39.159733,6,3.484376
-30.22233,6,3.484376
-34.46921,7,3.487368
-26.471996,6,3.487368
-32.74464,6,3.489311
-41.59754,7,3.489311
-38.55697,6,3.496325
-28.866795,6,3.498287
-36.450226,6,3.498287
-28.073502,5,3.501311
-34.02577,9,3.501311
-37.725456,7,3.503274
-29.957306,7,3.503274
-35.402363,7,3.506298
-40.347687,6,3.510369
-29.705885,6,3.512363
-37.830982,7,3.515388
-33.297234,6,3.515388
-20.980759,5,3.517349
-35.197556,7,3.517349
-29.948393,6,3.517349
-33.621933,6,3.517349
-32.123013,5,3.522369
-34.734734,5,3.526326
-31.609982,6,3.529489
-37.05067,6,3.531484
-39.403446,6,3.531484
-31.52305,6,3.531484
-34.153812,7,3.534509
-39.059002,6,3.536503
-26.34668,10,3.536503
-36.439003,6,3.54149
-31.838387,5,3.543452
-34.84797,6,3.545446
-31.169165,7,3.545446
-28.481524,6,3.548471
-39.299347,6,3.550958
-36.482147,6,3.550958
-32.10931,8,3.550958
-31.934795,5,3.554912
-34.975388,7,3.557937
-35.061424,7,3.562893
-37.097847,7,3.562893
-39.96868,6,3.562893
-37.32474,6,3.564887
-46.71619,7,3.567911
-28.497795,6,3.570413
-38.512447,8,3.570413
-34.12586,6,3.572408
-35.96599,6,3.577394
-33.245205,6,3.577394
-35.457542,6,3.577394
-38.60936,6,3.580419
-30.705359,6,3.582414
-31.026163,6,3.584376
-33.896023,6,3.584376
-42.327797,6,3.5874
-33.24313,6,3.591326
-43.360126,6,3.591326
-36.824554,6,3.594351
-28.22785,7,3.594351
-36.66391,6,3.596313
-36.01543,5,3.598307
-40.56901,6,3.598307
-38.694714,7,3.601333
-36.11786,6,3.60529
-31.989662,6,3.60529
-33.534397,6,3.608313
-29.525167,6,3.608313
-41.323013,6,3.610438
-26.848228,5,3.610438
-32.41795,6,3.613465
-36.45467,6,3.615458
-33.56332,6,3.619414
-34.427303,6,3.622407
-26.12281,7,3.622407
-29.732376,6,3.622407
-21.163157,5,3.624401
-39.057724,6,3.624401
-22.211819,7,3.627429
-33.210716,6,3.629383
-33.575768,6,3.634407
-25.70212,6,3.636365
-35.152557,6,3.636365
-41.02393,6,3.636365
-34.424294,6,3.639389
-35.183537,6,3.639389
-32.698677,6,3.641383
-24.507416,6,3.643345
-30.92644,5,3.648367
-37.18064,6,3.648367
-34.503025,6,3.650956
-37.684734,6,3.652951
-38.51649,6,3.652951
-34.03781,7,3.652951
-30.087074,6,3.655975
-38.143154,6,3.657969
-26.13253,6,3.662958
-31.14116,6,3.662958
-27.25654,5,3.664919
-41.170563,6,3.664919
-31.832718,6,3.666913
-33.343548,7,3.669434
-31.571226,6,3.669434
-32.87637,6,3.672459
-42.04379,6,3.677445
-31.881662,6,3.677445
-44.71873,6,3.679407
-26.192293,7,3.681402
-27.284945,6,3.681402
-37.28921,6,3.684427
-37.550323,6,3.684427
-36.166637,6,3.686389
-31.716877,5,3.689434
-34.303303,6,3.691863
-41.464622,6,3.693824
-30.262774,6,3.695819
-37.926464,6,3.695819
-24.735962,6,3.698844
-31.223412,6,3.698844
-37.81817,5,3.698844
-25.416367,6,3.7028
-27.717377,6,3.705792
-42.30029,6,3.707794
-29.694727,6,3.710431
-34.53419,6,3.710431
-36.137295,6,3.713422
-30.729624,7,3.715384
-31.338766,8,3.717378
-39.048717,6,3.720403
-39.53448,6,3.727386
-28.423113,7,3.727386
-29.016666,7,3.727386
-26.955008,9,3.729144
-41.595486,6,3.729144
-32.43583,6,3.732169
-29.993305,6,3.734164
-30.855616,6,3.741146
-23.1544,6,3.741146
-29.847189,6,3.743107
-30.970078,7,3.743107
-30.956089,6,3.743107
-40.616722,6,3.746132
-72.03682,18,3.746132
-36.34287,6,3.748094
-26.440067,7,3.757916
-35.553825,7,3.757916
-30.830853,5,3.757916
-36.11295,6,3.757916
-28.020393,6,3.759876
-31.498077,7,3.759876
-32.718678,7,3.759876
-43.7644,6,3.761871
-30.99915,6,3.7724
-27.280481,6,3.7724
-33.737026,6,3.7724
-38.107616,6,3.7724
-31.188211,6,3.774362
